metric,avg_power_W,avg_power_W,avg_power_W,avg_power_W,duration_s,duration_s,duration_s,duration_s,nodes,nodes,nodes,nodes,total_energy,total_energy,total_energy,total_energy,cores,req_walltime,count
machine,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,,,
func_name,,,,,,,,,,,,,,,,,,,
147,4.115843443166503,0.4602653273553224,4.99125,0.8310342662824635,578.3829869469937,736.7750790971696,696.75,4939.152387143482,4.0,1.0,2.0,1.0,150379.57660621835,172742.06068486552,412085.82000000007,806001.4749126349,64.0,900.0,4.0
148,6.228874557934187,3.3007236588044817,4.13,0.803532895398122,9.132478070658388,12.321185317145584,10.0,81.6399888912425,5.0,2.0,2.0,2.0,2968.0553729639764,8305.192210495035,6024.0,23208.8308883974,80.0,10.0,1.0
149,3.6513192124726315,2.579396432101304,4.305,0.8070901652129424,25.582265218500986,36.071265036193644,22.0,240.88930063320998,5.0,2.0,2.0,2.0,8305.424052132848,22232.58605169847,13560.8,68549.1969749932,80.0,120.0,1.0
15,4.568528531317857,2.509303155271758,3.885,0.6087824882895604,7.612600640800917,10.327016010354921,8.333333333333334,68.26887593763946,1.0,1.0,1.0,1.0,494.8190416520596,2531.656103871968,1651.3333333333335,8174.550691797101,16.0,20.0,3.0
150,0.4571184099641199,1.200038568447925,4.075,0.449628509372961,4.791278573156903,6.3523706734134695,6.0,41.6181433653726,5.0,2.0,2.0,2.0,331.17064900078844,3214.319160833417,3588.0,10653.007841521387,80.0,180.0,1.0
151,0.44337246709665035,1.1736437071493129,2.6505555555555556,0.43816026980340483,6.745338987498718,10.044036420153269,5.0,66.37247549703208,5.0,2.0,2.0,2.0,458.81659110632546,5061.104543374152,2420.2222222222226,16928.487151051013,80.0,20.0,9.0
152,4.033130476711668,2.2541003112697573,2.947333333333333,0.5459829308266637,7.306841533279676,9.90121596602357,8.066666666666666,65.4138132685596,5.0,2.0,2.0,2.0,2374.7234983158946,5844.965265346689,4096.145777777778,17248.22495787641,80.0,20.0,15.0
153,0.4520159640746448,1.1902409040112154,3.2849999999999993,0.44537154230424425,4.0616564359815195,5.466803529942975,5.0,35.680407928796626,5.0,2.0,2.0,2.0,279.0816009632122,2761.9345013191023,2674.0,9120.972809078678,80.0,30.0,1.0
154,6.9452866826419415,3.642208635559693,3.4324999999999997,0.8875645046372418,9.61041955655485,12.777491200109633,11.0,84.69936617390674,5.0,2.0,2.0,2.0,3123.3863558803264,8961.834495231133,6012.5999999999985,24647.952636758033,80.0,30.0,4.0
155,4.02622666140422,0.14129139596150997,4.375,0.8264148794835653,314.7179362642978,431.96365852927033,293.0,2895.4085162213846,5.0,2.0,2.0,2.0,102283.32928589679,181987.71986246016,182246.0,828414.5679678073,80.0,300.0,1.0
156,3.797316112657342,0.6163606855963828,4.690384615384615,0.8146155867586331,121.24037233238248,161.4052918184706,127.38461538461539,1081.2668011790859,5.0,2.0,2.0,2.0,39403.1210080243,74134.87975150229,82447.2426035503,308344.0394342094,80.0,300.0,13.0
157,4.026131328406205,0.14123498785564642,4.3,0.8264099864056897,175.03427461041645,193.72212359597785,293.0,1297.90944568648,5.0,2.0,2.0,2.0,56886.13924838534,81614.89801622675,180488.0,371348.504240272,80.0,300.0,1.0
158,1.9569954812563508,1.9565276366218411,3.100714285714286,0.7197555606411272,31.65075293048728,41.346229196537905,36.142857142857146,276.25531898224204,5.0,2.0,2.0,2.0,5985.462444953346,23423.557178030722,18796.35102040817,76683.07433562582,80.0,60.0,7.0
159,4.163184936756017,2.316092050927379,3.71375,0.5612376744519014,6.440219674226827,8.44704790470776,8.0,55.66309133254698,5.0,2.0,2.0,2.0,2093.0713941237186,5028.420881401896,4552.8,14745.098007742932,80.0,60.0,8.0
16,3.011709360380237,2.344262399156568,1.4599999999999997,0.7741211702872873,23.784868586515536,21.16324560853577,55.0,140.91469224719532,1.0,1.0,1.0,1.0,1300.9692762169793,5132.260564537125,8764.8,17245.976890760634,16.0,240.0,2.0
160,2.7123935084264694,2.2342276347409484,4.465999999999999,0.7586928106945895,27.37498335449382,30.516220517812414,46.0,203.6328328344939,5.0,2.0,2.0,2.0,6831.19387970971,17966.065067402706,28946.879999999997,57158.80452702096,80.0,60.0,5.0
